*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_165 | 33          | 439         | 0.000652  | 7902         | 7824         | 237.090909090909    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_166 | 34          | 443         | 0.000658  | 7974         | 7896         | 232.235294117647    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_167 | 34          | 426         | 0.000634  | 7668         | 7608         | 223.764705882353    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_168 | 34          | 426         | 0.000634  | 7668         | 7608         | 223.764705882353    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_169 | 34          | 441         | 0.000656  | 7938         | 7872         | 231.529411764706    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_17  | 55          | 645         | 0.000945  | 11610        | 11340        | 206.181818181818    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_170 | 34          | 443         | 0.000658  | 7974         | 7896         | 232.235294117647    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_171 | 34          | 438         | 0.000652  | 7884         | 7824         | 230.117647058824    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_172 | 34          | 426         | 0.000634  | 7668         | 7608         | 223.764705882353    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_173 | 33          | 440         | 0.000654  | 7920         | 7848         | 237.818181818182    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_174 | 34          | 426         | 0.000634  | 7668         | 7608         | 223.764705882353    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_175 | 34          | 441         | 0.000656  | 7938         | 7872         | 231.529411764706    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_176 | 33          | 425         | 0.000632  | 7650         | 7584         | 229.818181818182    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_177 | 33          | 440         | 0.000654  | 7920         | 7848         | 237.818181818182    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_178 | 33          | 442         | 0.000656  | 7956         | 7872         | 238.545454545455    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_179 | 33          | 440         | 0.000654  | 7920         | 7848         | 237.818181818182    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_18  | 56          | 643         | 0.000943  | 11574        | 11316        | 202.071428571429    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_180 | 56          | 644         | 0.000945  | 11592        | 11340        | 202.5               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_181 | 54          | 641         | 0.000939  | 11538        | 11268        | 208.666666666667    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_182 | 54          | 639         | 0.000937  | 11502        | 11244        | 208.222222222222    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_183 | 56          | 644         | 0.000945  | 11592        | 11340        | 202.5               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_184 | 56          | 644         | 0.000945  | 11592        | 11340        | 202.5               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_185 | 55          | 642         | 0.000941  | 11556        | 11292        | 205.309090909091    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_186 | 54          | 641         | 0.000939  | 11538        | 11268        | 208.666666666667    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_187 | 54          | 642         | 0.000941  | 11556        | 11292        | 209.111111111111    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_188 | 56          | 663         | 0.000971  | 11934        | 11652        | 208.071428571429    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_189 | 55          | 642         | 0.000941  | 11556        | 11292        | 205.309090909091    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_19  | 56          | 668         | 0.000981  | 12024        | 11772        | 210.214285714286    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_190 | 54          | 666         | 0.000977  | 11988        | 11724        | 217.111111111111    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_191 | 56          | 663         | 0.000971  | 11934        | 11652        | 208.071428571429    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_192 | 56          | 641         | 0.000941  | 11538        | 11292        | 201.642857142857    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_193 | 56          | 644         | 0.000945  | 11592        | 11340        | 202.5               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_194 | 56          | 674         | 0.000987  | 12132        | 11844        | 211.5               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_195 | 54          | 642         | 0.000941  | 11556        | 11292        | 209.111111111111    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_196 | 56          | 646         | 0.000947  | 11628        | 11364        | 202.928571428571    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_197 | 56          | 657         | 0.000963  | 11826        | 11556        | 206.357142857143    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_198 | 56          | 644         | 0.000945  | 11592        | 11340        | 202.5               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_199 | 55          | 645         | 0.000945  | 11610        | 11340        | 206.181818181818    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_20  | 34          | 441         | 0.000656  | 7938         | 7872         | 231.529411764706    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_200 | 33          | 425         | 0.000632  | 7650         | 7584         | 229.818181818182    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_201 | 33          | 440         | 0.000654  | 7920         | 7848         | 237.818181818182    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_202 | 34          | 426         | 0.000634  | 7668         | 7608         | 223.764705882353    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_203 | 33          | 440         | 0.000654  | 7920         | 7848         | 237.818181818182    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_204 | 34          | 441         | 0.000656  | 7938         | 7872         | 231.529411764706    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_205 | 34          | 438         | 0.000652  | 7884         | 7824         | 230.117647058824    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_206 | 33          | 425         | 0.000632  | 7650         | 7584         | 229.818181818182    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_207 | 34          | 426         | 0.000634  | 7668         | 7608         | 223.764705882353    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_208 | 33          | 442         | 0.000656  | 7956         | 7872         | 238.545454545455    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_209 | 34          | 440         | 0.000654  | 7920         | 7848         | 230.823529411765    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_21  | 33          | 425         | 0.000632  | 7650         | 7584         | 229.818181818182    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_210 | 56          | 646         | 0.000947  | 11628        | 11364        | 202.928571428571    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_211 | 55          | 645         | 0.000945  | 11610        | 11340        | 206.181818181818    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_212 | 56          | 674         | 0.000987  | 12132        | 11844        | 211.5               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_213 | 54          | 678         | 0.000991  | 12204        | 11892        | 220.222222222222    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_214 | 56          | 644         | 0.000945  | 11592        | 11340        | 202.5               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_215 | 56          | 680         | 0.000995  | 12240        | 11940        | 213.214285714286    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_216 | 56          | 680         | 0.000995  | 12240        | 11940        | 213.214285714286    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_217 | 56          | 663         | 0.000971  | 11934        | 11652        | 208.071428571429    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_218 | 56          | 641         | 0.000941  | 11538        | 11292        | 201.642857142857    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_219 | 56          | 644         | 0.000945  | 11592        | 11340        | 202.5               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_22  | 34          | 438         | 0.000652  | 7884         | 7824         | 230.117647058824    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_220 | 16          | 293         | 0.000446  | 5274         | 5352         | 334.5               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_221 | 16          | 293         | 0.000446  | 5274         | 5352         | 334.5               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_222 | 16          | 293         | 0.000446  | 5274         | 5352         | 334.5               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_223 | 16          | 293         | 0.000446  | 5274         | 5352         | 334.5               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_224 | 16          | 293         | 0.000446  | 5274         | 5352         | 334.5               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_225 | 16          | 293         | 0.000446  | 5274         | 5352         | 334.5               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_226 | 16          | 293         | 0.000446  | 5274         | 5352         | 334.5               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_227 | 16          | 293         | 0.000446  | 5274         | 5352         | 334.5               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_228 | 16          | 293         | 0.000446  | 5274         | 5352         | 334.5               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_229 | 16          | 293         | 0.000446  | 5274         | 5352         | 334.5               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_23  | 34          | 426         | 0.000634  | 7668         | 7608         | 223.764705882353    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_230 | 33          | 437         | 0.00065   | 7866         | 7800         | 236.363636363636    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_231 | 33          | 439         | 0.000652  | 7902         | 7824         | 237.090909090909    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_232 | 33          | 425         | 0.000632  | 7650         | 7584         | 229.818181818182    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_233 | 34          | 426         | 0.000634  | 7668         | 7608         | 223.764705882353    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_234 | 34          | 426         | 0.000634  | 7668         | 7608         | 223.764705882353    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_235 | 34          | 438         | 0.000652  | 7884         | 7824         | 230.117647058824    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_236 | 33          | 425         | 0.000632  | 7650         | 7584         | 229.818181818182    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_237 | 33          | 425         | 0.000632  | 7650         | 7584         | 229.818181818182    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_238 | 33          | 439         | 0.000652  | 7902         | 7824         | 237.090909090909    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_239 | 34          | 438         | 0.000652  | 7884         | 7824         | 230.117647058824    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_24  | 33          | 439         | 0.000652  | 7902         | 7824         | 237.090909090909    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_240 | 16          | 293         | 0.000446  | 5274         | 5352         | 334.5               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_241 | 16          | 293         | 0.000446  | 5274         | 5352         | 334.5               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_242 | 16          | 293         | 0.000446  | 5274         | 5352         | 334.5               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_243 | 16          | 293         | 0.000446  | 5274         | 5352         | 334.5               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_244 | 16          | 293         | 0.000446  | 5274         | 5352         | 334.5               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_245 | 16          | 293         | 0.000446  | 5274         | 5352         | 334.5               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_246 | 16          | 293         | 0.000446  | 5274         | 5352         | 334.5               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_247 | 16          | 293         | 0.000446  | 5274         | 5352         | 334.5               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_248 | 16          | 293         | 0.000446  | 5274         | 5352         | 334.5               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_249 | 16          | 293         | 0.000446  | 5274         | 5352         | 334.5               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_25  | 33          | 442         | 0.000656  | 7956         | 7872         | 238.545454545455    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_250 | 55          | 645         | 0.000945  | 11610        | 11340        | 206.181818181818    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_251 | 55          | 642         | 0.000941  | 11556        | 11292        | 205.309090909091    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_252 | 56          | 663         | 0.000971  | 11934        | 11652        | 208.071428571429    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_253 | 55          | 642         | 0.000941  | 11556        | 11292        | 205.309090909091    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_254 | 56          | 668         | 0.000981  | 12024        | 11772        | 210.214285714286    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_255 | 56          | 644         | 0.000945  | 11592        | 11340        | 202.5               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_256 | 56          | 644         | 0.000945  | 11592        | 11340        | 202.5               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_257 | 56          | 674         | 0.000989  | 12132        | 11868        | 211.928571428571    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_258 | 54          | 641         | 0.000939  | 11538        | 11268        | 208.666666666667    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_259 | 56          | 643         | 0.000943  | 11574        | 11316        | 202.071428571429    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_26  | 33          | 425         | 0.000632  | 7650         | 7584         | 229.818181818182    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_260 | 16          | 293         | 0.000446  | 5274         | 5352         | 334.5               |* 
