*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_175 | 18059       | 79146       | 0.113904  | 1424628      | 1366848      | 75.6879118445097    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_176 | 18117       | 79304       | 0.114118  | 1427472      | 1369416      | 75.5873488988243    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_177 | 18114       | 79201       | 0.113999  | 1425618      | 1367988      | 75.5210334547863    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_178 | 18131       | 79242       | 0.114064  | 1426356      | 1368768      | 75.4932436159065    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_179 | 18096       | 79199       | 0.113991  | 1425582      | 1367892      | 75.5908488063661    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_18  | 5297        | 21941       | 0.031574  | 394938       | 378888       | 71.5287898810648    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_180 | 930         | 3576        | 0.004653  | 64368        | 55836        | 60.0387096774194    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_181 | 921         | 3553        | 0.004622  | 63954        | 55464        | 60.2214983713355    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_182 | 940         | 3582        | 0.004669  | 64476        | 56028        | 59.6042553191489    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_183 | 951         | 3637        | 0.004736  | 65466        | 56832        | 59.7602523659306    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_184 | 936         | 3606        | 0.00469   | 64908        | 56280        | 60.1282051282051    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_185 | 952         | 3631        | 0.004732  | 65358        | 56784        | 59.6470588235294    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_186 | 948         | 3589        | 0.004682  | 64602        | 56184        | 59.2658227848101    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_187 | 924         | 3546        | 0.004616  | 63828        | 55392        | 59.9480519480519    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_188 | 926         | 3556        | 0.00463   | 64008        | 55560        | 60                  |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_189 | 951         | 3615        | 0.004714  | 65070        | 56568        | 59.4826498422713    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_19  | 5211        | 21709       | 0.031255  | 390762       | 375060       | 71.9746689694876    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_190 | 18160       | 79288       | 0.114133  | 1427184      | 1369596      | 75.418281938326     |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_191 | 18115       | 79327       | 0.114147  | 1427886      | 1369764      | 75.6149047750483    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_192 | 18186       | 79363       | 0.11423   | 1428534      | 1370760      | 75.3744638733091    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_193 | 18058       | 79086       | 0.113837  | 1423548      | 1366044      | 75.6475800199358    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_194 | 18409       | 80038       | 0.115131  | 1440684      | 1381572      | 75.048726166549     |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_195 | 18022       | 78950       | 0.113654  | 1421100      | 1363848      | 75.6768394184885    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_196 | 17970       | 78756       | 0.113411  | 1417608      | 1360932      | 75.7335559265442    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_197 | 18250       | 79595       | 0.114535  | 1432710      | 1374420      | 75.3106849315069    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_198 | 18076       | 79143       | 0.11391   | 1424574      | 1366920      | 75.6207125470237    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_199 | 17997       | 78920       | 0.1136    | 1420560      | 1363200      | 75.7459576596099    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_20  | 18070       | 79025       | 0.11378   | 1422450      | 1365360      | 75.5594908688434    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_200 | 18364       | 79879       | 0.114932  | 1437822      | 1379184      | 75.1025920278806    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_201 | 18110       | 79225       | 0.11403   | 1426050      | 1368360      | 75.5582551076753    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_202 | 17979       | 78844       | 0.113509  | 1419192      | 1362108      | 75.7610545636576    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_203 | 18191       | 79355       | 0.114227  | 1428390      | 1370724      | 75.3517673574845    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_204 | 18145       | 79389       | 0.114229  | 1429002      | 1370748      | 75.5441168365941    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_205 | 18000       | 78961       | 0.113656  | 1421298      | 1363872      | 75.7706666666667    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_206 | 18194       | 79491       | 0.114374  | 1430838      | 1372488      | 75.436297680554     |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_207 | 17948       | 78723       | 0.113354  | 1417014      | 1360248      | 75.7882772453755    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_208 | 18190       | 79504       | 0.114394  | 1431072      | 1372728      | 75.4660802638813    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_209 | 18288       | 79697       | 0.114683  | 1434546      | 1376196      | 75.251312335958     |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_21  | 18123       | 79268       | 0.114089  | 1426824      | 1369068      | 75.5431219996689    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_210 | 5211        | 21687       | 0.031228  | 390366       | 374736       | 71.9124928036845    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_211 | 5313        | 21966       | 0.031611  | 395388       | 379332       | 71.3969508752117    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_212 | 5287        | 21891       | 0.031514  | 394038       | 378168       | 71.5278986192548    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_213 | 5236        | 21746       | 0.031317  | 391428       | 375804       | 71.7731092436975    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_214 | 5207        | 21667       | 0.031205  | 390006       | 374460       | 71.9147301709238    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_215 | 5195        | 21651       | 0.031175  | 389718       | 374100       | 72.0115495668912    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_216 | 5226        | 21696       | 0.031252  | 390528       | 375024       | 71.7611940298507    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_217 | 5239        | 21772       | 0.031344  | 391896       | 376128       | 71.793853788891     |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_218 | 5239        | 21767       | 0.031336  | 391806       | 376032       | 71.7755296812369    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_219 | 5241        | 21771       | 0.031352  | 391878       | 376224       | 71.784773898111     |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_22  | 18178       | 79433       | 0.114304  | 1429794      | 1371648      | 75.456485862031     |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_220 | 12553       | 53907       | 0.077583  | 970326       | 930996       | 74.1652194694495    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_221 | 12499       | 53868       | 0.077511  | 969624       | 930132       | 74.4165133210657    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_222 | 12442       | 53638       | 0.077207  | 965484       | 926484       | 74.4642340459733    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_223 | 12565       | 53945       | 0.077635  | 971010       | 931620       | 74.1440509351373    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_224 | 12382       | 53561       | 0.077086  | 964098       | 925032       | 74.7078016475529    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_225 | 12440       | 53705       | 0.077275  | 966690       | 927300       | 74.5418006430868    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_226 | 12711       | 54410       | 0.078239  | 979380       | 938868       | 73.8626386594288    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_227 | 12495       | 53804       | 0.077424  | 968472       | 929088       | 74.3567827130852    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_228 | 12474       | 53743       | 0.077346  | 967374       | 928152       | 74.4069264069264    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_229 | 12456       | 53686       | 0.077273  | 966348       | 927276       | 74.4441233140655    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_23  | 18189       | 79411       | 0.114289  | 1429398      | 1371468      | 75.4009566221343    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_230 | 1842        | 7226        | 0.01041   | 130068       | 124920       | 67.8175895765472    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_231 | 1780        | 7048        | 0.010168  | 126864       | 122016       | 68.5483146067416    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_232 | 1769        | 6938        | 0.010041  | 124884       | 120492       | 68.1130582249859    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_233 | 1762        | 6980        | 0.010079  | 125640       | 120948       | 68.6424517593644    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_234 | 1764        | 6955        | 0.010051  | 125190       | 120612       | 68.3741496598639    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_235 | 1771        | 6981        | 0.010088  | 125658       | 121056       | 68.3546019198193    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_236 | 1777        | 7044        | 0.010163  | 126792       | 121956       | 68.6302757456387    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_237 | 1818        | 7084        | 0.010235  | 127512       | 122820       | 67.5577557755776    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_238 | 1780        | 7004        | 0.010119  | 126072       | 121428       | 68.2179775280899    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_239 | 1782        | 7036        | 0.010155  | 126648       | 121860       | 68.3838383838384    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_24  | 18324       | 79822       | 0.11484   | 1436796      | 1378080      | 75.2062868369352    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_240 | 932         | 3542        | 0.004618  | 63756        | 55416        | 59.4592274678112    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_241 | 951         | 3637        | 0.004736  | 65466        | 56832        | 59.7602523659306    |* 
